Date,Open,High,Low,Close,Volume
2023-01-01,150.0,152.5,149.0,152.0,100000
2023-01-02,152.2,153.0,151.5,152.8,120000
2023-01-03,153.0,155.0,152.5,154.5,150000
2023-01-04,154.5,155.5,153.0,153.5,130000
2023-01-05,153.8,154.0,152.0,152.5,110000
2023-01-06,152.5,153.5,151.0,151.2,140000
2023-01-09,151.0,152.0,150.0,150.5,160000
2023-01-10,150.5,151.5,149.5,151.0,130000
2023-01-11,151.2,153.0,151.0,152.5,170000
2023-01-12,152.8,154.0,152.0,153.0,120000
2023-01-13,153.2,155.0,153.0,154.8,180000
2023-01-16,155.0,156.0,154.5,155.5,190000
2023-01-17,155.8,157.0,155.0,156.0,200000
2023-01-18,156.2,158.0,156.0,157.5,220000
2023-01-19,157.8,159.0,157.5,158.0,210000
2023-01-20,158.2,160.0,158.0,159.5,250000
2023-01-23,160.0,161.0,159.5,160.5,230000
2023-01-24,160.8,162.0,160.0,161.0,240000
2023-01-25,161.2,163.0,161.0,162.5,260000
2023-01-26,162.8,164.0,162.0,163.0,270000
2023-01-27,163.2,165.0,163.0,164.8,280000
2023-01-30,165.0,166.0,164.5,165.5,290000
2023-01-31,165.8,167.0,165.0,166.0,300000
